Total Lengths per Chromosome:
Chromosome: PYGN01006491.1, Total Length: 12493
Chromosome: PYGN01011986.1, Total Length: 4543
Chromosome: PYGN01011259.1, Total Length: 3006
Chromosome: PYGN01018368.1, Total Length: 1415
Chromosome: PYGN01022495.1, Total Length: 1976
Chromosome: PYGN01013989.1, Total Length: 6996
Chromosome: PYGN01004309.1, Total Length: 21089
Chromosome: PYGN01011476.1, Total Length: 9886
Chromosome: PYGN01008342.1, Total Length: 8064
Chromosome: PYGN01002267.1, Total Length: 12160
Chromosome: PYGN01003874.1, Total Length: 12373
Chromosome: PYGN01003301.1, Total Length: 48263
Chromosome: PYGN01000493.1, Total Length: 1120928
Chromosome: PYGN01021507.1, Total Length: 1156
Chromosome: PYGN01023029.1, Total Length: 3924
Chromosome: PYGN01014176.1, Total Length: 4975
Chromosome: PYGN01011149.1, Total Length: 5967
Chromosome: PYGN01005769.1, Total Length: 15840
Chromosome: PYGN01004539.1, Total Length: 17341
Chromosome: PYGN01004052.1, Total Length: 15259
Chromosome: PYGN01014633.1, Total Length: 3240
Chromosome: PYGN01003464.1, Total Length: 23148
Chromosome: PYGN01000833.1, Total Length: 662446
Chromosome: PYGN01011671.1, Total Length: 7052
Chromosome: PYGN01012823.1, Total Length: 3671
Chromosome: PYGN01007914.1, Total Length: 4544
Chromosome: PYGN01022731.1, Total Length: 1408
Chromosome: PYGN01008343.1, Total Length: 12686
Chromosome: PYGN01002127.1, Total Length: 78331
Chromosome: PYGN01006435.1, Total Length: 7239
Chromosome: PYGN01008213.1, Total Length: 3638
Chromosome: PYGN01013075.1, Total Length: 3571
Chromosome: PYGN01012553.1, Total Length: 6072
Chromosome: PYGN01016287.1, Total Length: 1953
Chromosome: PYGN01004918.1, Total Length: 41534
Chromosome: PYGN01020819.1, Total Length: 2433
Chromosome: PYGN01012471.1, Total Length: 2445
Chromosome: PYGN01020187.1, Total Length: 1080
Chromosome: PYGN01008840.1, Total Length: 5326
Chromosome: PYGN01018158.1, Total Length: 3474
Chromosome: PYGN01000128.1, Total Length: 1117425
Chromosome: PYGN01009891.1, Total Length: 8393
Chromosome: PYGN01017063.1, Total Length: 2711
Chromosome: PYGN01014489.1, Total Length: 3402
Chromosome: PYGN01007788.1, Total Length: 6723
Chromosome: PYGN01023917.1, Total Length: 1254
Chromosome: PYGN01010917.1, Total Length: 5424
Chromosome: PYGN01014046.1, Total Length: 5102
Chromosome: PYGN01001575.1, Total Length: 215049
Chromosome: PYGN01017541.1, Total Length: 2652
Chromosome: PYGN01017491.1, Total Length: 8884
Chromosome: PYGN01007161.1, Total Length: 7167
Chromosome: PYGN01007398.1, Total Length: 3943
Chromosome: PYGN01012275.1, Total Length: 5806
Chromosome: PYGN01018729.1, Total Length: 1603
Chromosome: PYGN01023297.1, Total Length: 2430
Chromosome: PYGN01000762.1, Total Length: 553255
Chromosome: PYGN01019295.1, Total Length: 2767
Chromosome: PYGN01003070.1, Total Length: 19119
Chromosome: PYGN01012534.1, Total Length: 7035
Chromosome: PYGN01008399.1, Total Length: 5687
Chromosome: PYGN01015168.1, Total Length: 5709
Chromosome: PYGN01005370.1, Total Length: 10823
Chromosome: PYGN01005950.1, Total Length: 9584
Chromosome: PYGN01001171.1, Total Length: 327576
Chromosome: PYGN01008602.1, Total Length: 6560
Chromosome: PYGN01016267.1, Total Length: 3987
Chromosome: PYGN01005609.1, Total Length: 11175
Chromosome: PYGN01023347.1, Total Length: 2534
Chromosome: PYGN01011746.1, Total Length: 8249
Chromosome: PYGN01004068.1, Total Length: 39056
Chromosome: PYGN01014772.1, Total Length: 2603
Chromosome: PYGN01019310.1, Total Length: 2432
Chromosome: PYGN01008533.1, Total Length: 4458
Chromosome: PYGN01003995.1, Total Length: 26473
Chromosome: PYGN01009900.1, Total Length: 3094
Chromosome: PYGN01016191.1, Total Length: 5001
Chromosome: PYGN01024160.1, Total Length: 1280
Chromosome: PYGN01018106.1, Total Length: 1678
Chromosome: PYGN01003314.1, Total Length: 44981
Chromosome: PYGN01009113.1, Total Length: 3641
Chromosome: PYGN01008748.1, Total Length: 15878
Chromosome: PYGN01002633.1, Total Length: 40447
Chromosome: PYGN01015940.1, Total Length: 4597
Chromosome: PYGN01009485.1, Total Length: 7450
Chromosome: PYGN01016608.1, Total Length: 3574
Chromosome: PYGN01014130.1, Total Length: 3777
Chromosome: PYGN01016494.1, Total Length: 4292
Chromosome: PYGN01004092.1, Total Length: 19957
Chromosome: PYGN01012257.1, Total Length: 8522
Chromosome: PYGN01006939.1, Total Length: 12499
Chromosome: PYGN01008813.1, Total Length: 4953
Chromosome: PYGN01021589.1, Total Length: 1819
Chromosome: PYGN01018238.1, Total Length: 1481
Chromosome: PYGN01019301.1, Total Length: 1864
Chromosome: PYGN01012088.1, Total Length: 4359
Chromosome: PYGN01019500.1, Total Length: 1083
Chromosome: PYGN01006956.1, Total Length: 9726
Chromosome: PYGN01012997.1, Total Length: 3706
Chromosome: PYGN01020982.1, Total Length: 1518
Chromosome: PYGN01008012.1, Total Length: 3826
Chromosome: PYGN01011190.1, Total Length: 5877
Chromosome: PYGN01021497.1, Total Length: 3174
Chromosome: PYGN01010915.1, Total Length: 4545
Chromosome: PYGN01016022.1, Total Length: 4407
Chromosome: PYGN01004114.1, Total Length: 14427
Chromosome: PYGN01022813.1, Total Length: 1728
Chromosome: PYGN01001391.1, Total Length: 124813
Chromosome: PYGN01009207.1, Total Length: 7005
Chromosome: PYGN01001459.1, Total Length: 32883
Chromosome: PYGN01009525.1, Total Length: 5050
Chromosome: PYGN01000665.1, Total Length: 889245
Chromosome: PYGN01020883.1, Total Length: 1683
Chromosome: PYGN01008843.1, Total Length: 5049
Chromosome: PYGN01011833.1, Total Length: 7441
Chromosome: PYGN01020193.1, Total Length: 1520
Chromosome: PYGN01012636.1, Total Length: 3712
Chromosome: PYGN01005738.1, Total Length: 8730
Chromosome: PYGN01005605.1, Total Length: 11065
Chromosome: PYGN01024632.1, Total Length: 1192
Chromosome: PYGN01019990.1, Total Length: 5191
Chromosome: PYGN01015547.1, Total Length: 2701
Chromosome: PYGN01002284.1, Total Length: 118336
Chromosome: PYGN01000085.1, Total Length: 2114521
Chromosome: PYGN01007784.1, Total Length: 7522
Chromosome: PYGN01003842.1, Total Length: 21120
Chromosome: PYGN01002890.1, Total Length: 102526
Chromosome: PYGN01007264.1, Total Length: 9459
Chromosome: PYGN01009027.1, Total Length: 4700
Chromosome: PYGN01017582.1, Total Length: 3738
Chromosome: PYGN01009813.1, Total Length: 2517
Chromosome: PYGN01021629.1, Total Length: 1657
Chromosome: PYGN01013182.1, Total Length: 2477
Chromosome: PYGN01011468.1, Total Length: 5674
Chromosome: PYGN01011172.1, Total Length: 3990
Chromosome: PYGN01011501.1, Total Length: 8889
Chromosome: PYGN01015643.1, Total Length: 7780
Chromosome: PYGN01019014.1, Total Length: 1767
Chromosome: PYGN01011107.1, Total Length: 7548
Chromosome: PYGN01005563.1, Total Length: 7965
Chromosome: PYGN01010650.1, Total Length: 6752
Chromosome: PYGN01003945.1, Total Length: 18888
Chromosome: PYGN01002182.1, Total Length: 38140
Chromosome: PYGN01014901.1, Total Length: 2062
Chromosome: PYGN01014429.1, Total Length: 5225
Chromosome: PYGN01013804.1, Total Length: 3663
Chromosome: PYGN01014768.1, Total Length: 2885
Chromosome: PYGN01008114.1, Total Length: 6694
Chromosome: PYGN01012615.1, Total Length: 3439
Chromosome: PYGN01004873.1, Total Length: 12082
Chromosome: PYGN01008328.1, Total Length: 6431
Chromosome: PYGN01001786.1, Total Length: 211667
Chromosome: PYGN01016350.1, Total Length: 3934
Chromosome: PYGN01004947.1, Total Length: 11350
Chromosome: PYGN01002589.1, Total Length: 78879
Chromosome: PYGN01004548.1, Total Length: 15871
Chromosome: PYGN01000199.1, Total Length: 893133
Chromosome: PYGN01000888.1, Total Length: 755354
Chromosome: PYGN01007556.1, Total Length: 6428
Chromosome: PYGN01016026.1, Total Length: 4996
Chromosome: PYGN01000572.1, Total Length: 491384
Chromosome: PYGN01013305.1, Total Length: 3516
Chromosome: PYGN01018082.1, Total Length: 5916
Chromosome: PYGN01003810.1, Total Length: 20148
Chromosome: PYGN01018792.1, Total Length: 1788
Chromosome: PYGN01006081.1, Total Length: 17096
Chromosome: PYGN01020723.1, Total Length: 1649
Chromosome: PYGN01011857.1, Total Length: 9032
Chromosome: PYGN01018604.1, Total Length: 1424
Chromosome: PYGN01023066.1, Total Length: 1395
Chromosome: PYGN01024540.1, Total Length: 2702
Chromosome: PYGN01001287.1, Total Length: 32251
Chromosome: PYGN01015933.1, Total Length: 3004
Chromosome: PYGN01003615.1, Total Length: 25417
Chromosome: PYGN01022782.1, Total Length: 1218
Chromosome: PYGN01006031.1, Total Length: 9943
Chromosome: PYGN01006455.1, Total Length: 17623
Chromosome: PYGN01004977.1, Total Length: 19693
Chromosome: PYGN01006494.1, Total Length: 10692
Chromosome: PYGN01021677.1, Total Length: 1160
Chromosome: PYGN01004985.1, Total Length: 19448
Chromosome: PYGN01003787.1, Total Length: 22931
Chromosome: PYGN01011487.1, Total Length: 5483
Chromosome: PYGN01008312.1, Total Length: 10534
Chromosome: PYGN01018728.1, Total Length: 1011
Chromosome: PYGN01018164.1, Total Length: 1513
Chromosome: PYGN01015292.1, Total Length: 2423
Chromosome: PYGN01003153.1, Total Length: 43947
Chromosome: PYGN01016833.1, Total Length: 4901
Chromosome: PYGN01006771.1, Total Length: 10910
Chromosome: PYGN01018175.1, Total Length: 2132
Chromosome: PYGN01012408.1, Total Length: 2473
Chromosome: PYGN01006864.1, Total Length: 11543
Chromosome: PYGN01011987.1, Total Length: 7240
Chromosome: PYGN01023048.1, Total Length: 1119
Chromosome: PYGN01004427.1, Total Length: 25111
Chromosome: PYGN01012808.1, Total Length: 5391
Chromosome: PYGN01011188.1, Total Length: 7691
Chromosome: PYGN01014567.1, Total Length: 5234
Chromosome: PYGN01009496.1, Total Length: 4146
Chromosome: PYGN01000631.1, Total Length: 987085
Chromosome: PYGN01004202.1, Total Length: 15705
Chromosome: PYGN01023684.1, Total Length: 1796
Chromosome: PYGN01004275.1, Total Length: 17577
Chromosome: PYGN01007707.1, Total Length: 3663
Chromosome: PYGN01021312.1, Total Length: 1105
Chromosome: PYGN01004377.1, Total Length: 3003
Chromosome: PYGN01003606.1, Total Length: 18931
Chromosome: PYGN01015628.1, Total Length: 6921
Chromosome: PYGN01003236.1, Total Length: 28882
Chromosome: PYGN01013839.1, Total Length: 4704
Chromosome: PYGN01022147.1, Total Length: 1064
Chromosome: PYGN01014008.1, Total Length: 2984
Chromosome: PYGN01008457.1, Total Length: 8696
Chromosome: PYGN01000604.1, Total Length: 797529
Chromosome: PYGN01003755.1, Total Length: 24626
Chromosome: PYGN01011829.1, Total Length: 12817
Chromosome: PYGN01011480.1, Total Length: 9561
Chromosome: PYGN01004458.1, Total Length: 12399
Chromosome: PYGN01024229.1, Total Length: 1078
Chromosome: PYGN01010350.1, Total Length: 6608
Chromosome: PYGN01018232.1, Total Length: 1811
Chromosome: PYGN01004210.1, Total Length: 11259
Chromosome: PYGN01008822.1, Total Length: 9148
Chromosome: PYGN01003482.1, Total Length: 19500
Chromosome: PYGN01015955.1, Total Length: 1231
Chromosome: PYGN01000591.1, Total Length: 971580
Chromosome: PYGN01024424.1, Total Length: 1351
Chromosome: PYGN01011611.1, Total Length: 4322
Chromosome: PYGN01010660.1, Total Length: 5904
Chromosome: PYGN01011140.1, Total Length: 6933
Chromosome: PYGN01004821.1, Total Length: 18084
Chromosome: PYGN01003604.1, Total Length: 13805
Chromosome: PYGN01011597.1, Total Length: 7046
Chromosome: PYGN01024545.1, Total Length: 1097
Chromosome: PYGN01010707.1, Total Length: 24459
Chromosome: PYGN01013888.1, Total Length: 4969
Chromosome: PYGN01000770.1, Total Length: 579661
Chromosome: PYGN01023376.1, Total Length: 1536
Chromosome: PYGN01003830.1, Total Length: 20578
Chromosome: PYGN01016518.1, Total Length: 4251
Chromosome: PYGN01018436.1, Total Length: 1262
Chromosome: PYGN01001017.1, Total Length: 712316
Chromosome: PYGN01010830.1, Total Length: 3884
Chromosome: PYGN01017602.1, Total Length: 4237
Chromosome: PYGN01013303.1, Total Length: 3501
Chromosome: PYGN01021897.1, Total Length: 1426
Chromosome: PYGN01001704.1, Total Length: 221821
Chromosome: PYGN01019522.1, Total Length: 3587
Chromosome: PYGN01022729.1, Total Length: 1044
Chromosome: PYGN01024118.1, Total Length: 1370
Chromosome: PYGN01014344.1, Total Length: 2479
Chromosome: PYGN01012162.1, Total Length: 2856
Chromosome: PYGN01005457.1, Total Length: 12862
Chromosome: PYGN01019187.1, Total Length: 1438
Chromosome: PYGN01019327.1, Total Length: 1182
Chromosome: PYGN01006546.1, Total Length: 6304
Chromosome: PYGN01024007.1, Total Length: 5452
Chromosome: PYGN01004074.1, Total Length: 18410
Chromosome: PYGN01014250.1, Total Length: 3958
Chromosome: PYGN01000823.1, Total Length: 767477
Chromosome: PYGN01019274.1, Total Length: 1508
Chromosome: PYGN01012095.1, Total Length: 7873
Chromosome: PYGN01015483.1, Total Length: 4364
Chromosome: PYGN01021519.1, Total Length: 1334
Chromosome: PYGN01022084.1, Total Length: 1171
Chromosome: PYGN01023971.1, Total Length: 1248
Chromosome: PYGN01018859.1, Total Length: 4225
Chromosome: PYGN01007294.1, Total Length: 6299
Chromosome: PYGN01007165.1, Total Length: 8308
Chromosome: PYGN01001715.1, Total Length: 138715
Chromosome: PYGN01020077.1, Total Length: 2588
Chromosome: PYGN01002708.1, Total Length: 83125
Chromosome: PYGN01004349.1, Total Length: 10192
Chromosome: PYGN01014243.1, Total Length: 2531
Chromosome: PYGN01021026.1, Total Length: 948
Chromosome: PYGN01019100.1, Total Length: 1280
Chromosome: PYGN01018836.1, Total Length: 1100
Chromosome: PYGN01011310.1, Total Length: 7923
Chromosome: PYGN01006336.1, Total Length: 15277
Chromosome: PYGN01010988.1, Total Length: 8678
Chromosome: PYGN01012199.1, Total Length: 5989
Chromosome: PYGN01001148.1, Total Length: 542967
Chromosome: PYGN01000408.1, Total Length: 754309
Chromosome: PYGN01004027.1, Total Length: 18665
Chromosome: PYGN01010849.1, Total Length: 6928
Chromosome: PYGN01007677.1, Total Length: 9850
Chromosome: PYGN01012834.1, Total Length: 2305
Chromosome: PYGN01015687.1, Total Length: 3453
Chromosome: PYGN01017348.1, Total Length: 3551
Chromosome: PYGN01004971.1, Total Length: 12272
Chromosome: PYGN01014091.1, Total Length: 5410
Chromosome: PYGN01004984.1, Total Length: 49372
Chromosome: PYGN01016875.1, Total Length: 1323
Chromosome: PYGN01024716.1, Total Length: 4103
Chromosome: PYGN01015614.1, Total Length: 9638
Chromosome: PYGN01022915.1, Total Length: 1438
Chromosome: PYGN01005140.1, Total Length: 11557
Chromosome: PYGN01024386.1, Total Length: 1720
Chromosome: PYGN01022836.1, Total Length: 2390
Chromosome: PYGN01016958.1, Total Length: 4817
Chromosome: PYGN01008858.1, Total Length: 7167
Chromosome: PYGN01017694.1, Total Length: 3652
Chromosome: PYGN01004322.1, Total Length: 39015
Chromosome: PYGN01012028.1, Total Length: 6106
Chromosome: PYGN01023548.1, Total Length: 1658
Chromosome: PYGN01002460.1, Total Length: 183367
Chromosome: PYGN01002436.1, Total Length: 106436
Chromosome: PYGN01000650.1, Total Length: 584223
Chromosome: PYGN01010105.1, Total Length: 3760
Chromosome: PYGN01016512.1, Total Length: 4081
Chromosome: PYGN01018996.1, Total Length: 1194
Chromosome: PYGN01023661.1, Total Length: 1831
Chromosome: PYGN01007247.1, Total Length: 8589
Chromosome: PYGN01008378.1, Total Length: 7555
Chromosome: PYGN01021734.1, Total Length: 1640
Chromosome: PYGN01008598.1, Total Length: 5736
Chromosome: PYGN01018057.1, Total Length: 2686
Chromosome: PYGN01008222.1, Total Length: 11799
Chromosome: PYGN01010537.1, Total Length: 4148
Chromosome: PYGN01004764.1, Total Length: 19265
Chromosome: PYGN01012415.1, Total Length: 1782
Chromosome: PYGN01014889.1, Total Length: 6922
Chromosome: PYGN01019697.1, Total Length: 1965
Chromosome: PYGN01012033.1, Total Length: 4569
Chromosome: PYGN01015393.1, Total Length: 4112
Chromosome: PYGN01008568.1, Total Length: 7222
Chromosome: PYGN01001880.1, Total Length: 404591
Chromosome: PYGN01005824.1, Total Length: 7585
Chromosome: PYGN01001440.1, Total Length: 70486
Chromosome: PYGN01016427.1, Total Length: 5192
Chromosome: PYGN01000050.1, Total Length: 2252280
Chromosome: PYGN01015552.1, Total Length: 3297
Chromosome: PYGN01013009.1, Total Length: 5079
Chromosome: PYGN01000711.1, Total Length: 406028
Chromosome: PYGN01002752.1, Total Length: 37462
Chromosome: PYGN01005223.1, Total Length: 34464
Chromosome: PYGN01001519.1, Total Length: 337093
Chromosome: PYGN01015871.1, Total Length: 4217
Chromosome: PYGN01010385.1, Total Length: 5918
Chromosome: PYGN01019315.1, Total Length: 2247
Chromosome: PYGN01023832.1, Total Length: 1850
Chromosome: PYGN01022605.1, Total Length: 1034
Chromosome: PYGN01014302.1, Total Length: 3955
Chromosome: PYGN01003708.1, Total Length: 19261
Chromosome: PYGN01002657.1, Total Length: 62501
Chromosome: PYGN01008161.1, Total Length: 7631
Chromosome: PYGN01022505.1, Total Length: 1233
Chromosome: PYGN01009664.1, Total Length: 8542
Chromosome: PYGN01014104.1, Total Length: 3570
Chromosome: PYGN01013862.1, Total Length: 3624
Chromosome: PYGN01004204.1, Total Length: 21386
Chromosome: PYGN01000930.1, Total Length: 337529
Chromosome: PYGN01016473.1, Total Length: 2854
Chromosome: PYGN01008752.1, Total Length: 12833
Chromosome: PYGN01018198.1, Total Length: 5304
Chromosome: PYGN01011256.1, Total Length: 7520
Chromosome: PYGN01020670.1, Total Length: 1310
Chromosome: PYGN01007508.1, Total Length: 10183
Chromosome: PYGN01003294.1, Total Length: 29261
Chromosome: PYGN01003462.1, Total Length: 18611
Chromosome: PYGN01015029.1, Total Length: 4353
Chromosome: PYGN01020880.1, Total Length: 1466
Chromosome: PYGN01002123.1, Total Length: 202593
Chromosome: PYGN01019983.1, Total Length: 1752
Chromosome: PYGN01009197.1, Total Length: 6850
Chromosome: PYGN01018321.1, Total Length: 2311
Chromosome: PYGN01024106.1, Total Length: 1403
Chromosome: PYGN01002899.1, Total Length: 3746
Chromosome: PYGN01023257.1, Total Length: 1183
Chromosome: PYGN01010145.1, Total Length: 3337
Chromosome: PYGN01017313.1, Total Length: 2778
Chromosome: PYGN01019478.1, Total Length: 1172
Chromosome: PYGN01016377.1, Total Length: 2839
Chromosome: PYGN01005991.1, Total Length: 6723
Chromosome: PYGN01007095.1, Total Length: 8297
Chromosome: PYGN01020554.1, Total Length: 1128
Chromosome: PYGN01010232.1, Total Length: 5232
Chromosome: PYGN01001992.1, Total Length: 292638
Chromosome: PYGN01019903.1, Total Length: 1918
Chromosome: PYGN01024460.1, Total Length: 2750
Chromosome: PYGN01001231.1, Total Length: 114903
Chromosome: PYGN01016594.1, Total Length: 4781
Chromosome: PYGN01015902.1, Total Length: 4083
Chromosome: PYGN01009144.1, Total Length: 5247
Chromosome: PYGN01015946.1, Total Length: 2590
Chromosome: PYGN01015008.1, Total Length: 5127
Chromosome: PYGN01012957.1, Total Length: 3772
Chromosome: PYGN01001998.1, Total Length: 141305
Chromosome: PYGN01001394.1, Total Length: 539007
Chromosome: PYGN01022452.1, Total Length: 1814
Chromosome: PYGN01012771.1, Total Length: 2666
Chromosome: PYGN01012232.1, Total Length: 6395
Chromosome: PYGN01014345.1, Total Length: 3445
Chromosome: PYGN01005169.1, Total Length: 15914
Chromosome: PYGN01015818.1, Total Length: 3453
Chromosome: PYGN01021696.1, Total Length: 4675
Chromosome: PYGN01024026.1, Total Length: 1348
Chromosome: PYGN01024573.1, Total Length: 5546
Chromosome: PYGN01010889.1, Total Length: 4661
Chromosome: PYGN01011984.1, Total Length: 5184
Chromosome: PYGN01019340.1, Total Length: 1132
Chromosome: PYGN01019454.1, Total Length: 1094
Chromosome: PYGN01007555.1, Total Length: 7773
Chromosome: PYGN01008185.1, Total Length: 7224
Chromosome: PYGN01016774.1, Total Length: 8753
Chromosome: PYGN01014882.1, Total Length: 2656
Chromosome: PYGN01005906.1, Total Length: 17030
Chromosome: PYGN01002572.1, Total Length: 68708
Chromosome: PYGN01003491.1, Total Length: 40037
Chromosome: PYGN01010626.1, Total Length: 6342
Chromosome: PYGN01004608.1, Total Length: 11409
Chromosome: PYGN01012315.1, Total Length: 8913
Chromosome: PYGN01019125.1, Total Length: 1080
Chromosome: PYGN01019934.1, Total Length: 1380
Chromosome: PYGN01018504.1, Total Length: 1393
Chromosome: PYGN01014199.1, Total Length: 4405
Chromosome: PYGN01000904.1, Total Length: 807985
Chromosome: PYGN01004034.1, Total Length: 37607
Chromosome: PYGN01005941.1, Total Length: 13111
Chromosome: PYGN01022181.1, Total Length: 4601
Chromosome: PYGN01012294.1, Total Length: 6647
Chromosome: PYGN01024045.1, Total Length: 1278
Chromosome: PYGN01013613.1, Total Length: 4615
Chromosome: PYGN01014909.1, Total Length: 2451
Chromosome: PYGN01006368.1, Total Length: 7664
Chromosome: PYGN01012748.1, Total Length: 2501
Chromosome: PYGN01014729.1, Total Length: 2999
Chromosome: PYGN01018845.1, Total Length: 2197
Chromosome: PYGN01011129.1, Total Length: 7316
Chromosome: PYGN01019150.1, Total Length: 1232
Chromosome: PYGN01002917.1, Total Length: 55574
Chromosome: PYGN01017080.1, Total Length: 4131
Chromosome: PYGN01007200.1, Total Length: 9511
Chromosome: PYGN01020967.1, Total Length: 1318
Chromosome: PYGN01010125.1, Total Length: 9805
Chromosome: PYGN01020916.1, Total Length: 1030
Chromosome: PYGN01007837.1, Total Length: 10164
Chromosome: PYGN01019575.1, Total Length: 1496
Chromosome: PYGN01010431.1, Total Length: 4693
Chromosome: PYGN01002143.1, Total Length: 147216
Chromosome: PYGN01000948.1, Total Length: 347466
Chromosome: PYGN01005593.1, Total Length: 6476
Chromosome: PYGN01022089.1, Total Length: 1132
Chromosome: PYGN01020222.1, Total Length: 1295
Chromosome: PYGN01001190.1, Total Length: 187675
Chromosome: PYGN01017074.1, Total Length: 5173
Chromosome: PYGN01023227.1, Total Length: 3077
Chromosome: PYGN01003515.1, Total Length: 20905
Chromosome: PYGN01012730.1, Total Length: 5871
Chromosome: PYGN01004184.1, Total Length: 15003
Chromosome: PYGN01014228.1, Total Length: 7014
Chromosome: PYGN01004484.1, Total Length: 18266
Chromosome: PYGN01013432.1, Total Length: 3238
Chromosome: PYGN01013607.1, Total Length: 4036
Chromosome: PYGN01001443.1, Total Length: 455447
Chromosome: PYGN01011738.1, Total Length: 8090
Chromosome: PYGN01014542.1, Total Length: 2830
Chromosome: PYGN01008674.1, Total Length: 9933
Chromosome: PYGN01016820.1, Total Length: 3561
Chromosome: PYGN01019293.1, Total Length: 1231
Chromosome: PYGN01013961.1, Total Length: 3194
Chromosome: PYGN01000714.1, Total Length: 509788
Chromosome: PYGN01008257.1, Total Length: 5861
Chromosome: PYGN01023485.1, Total Length: 1365
Chromosome: PYGN01002369.1, Total Length: 78395
Chromosome: PYGN01007365.1, Total Length: 8914
Chromosome: PYGN01016948.1, Total Length: 3599
Chromosome: PYGN01020451.1, Total Length: 1002
Chromosome: PYGN01001378.1, Total Length: 203928
Chromosome: PYGN01000511.1, Total Length: 722722
Chromosome: PYGN01012908.1, Total Length: 1422
Chromosome: PYGN01021365.1, Total Length: 4750
Chromosome: PYGN01023121.1, Total Length: 1271
Chromosome: PYGN01009597.1, Total Length: 7994
Chromosome: PYGN01007487.1, Total Length: 9036
Chromosome: PYGN01003950.1, Total Length: 2528
Chromosome: PYGN01014187.1, Total Length: 2539
Chromosome: PYGN01019094.1, Total Length: 1044
Chromosome: PYGN01010304.1, Total Length: 6873
Chromosome: PYGN01007471.1, Total Length: 10750
Chromosome: PYGN01022856.1, Total Length: 1057
Chromosome: PYGN01016805.1, Total Length: 3763
Chromosome: PYGN01001653.1, Total Length: 148080
Chromosome: PYGN01009266.1, Total Length: 5260
Chromosome: PYGN01018300.1, Total Length: 1367
Chromosome: PYGN01021978.1, Total Length: 1555
Chromosome: PYGN01022853.1, Total Length: 960
Chromosome: PYGN01000259.1, Total Length: 1428975
Chromosome: PYGN01011022.1, Total Length: 2898
Chromosome: PYGN01009320.1, Total Length: 4050
Chromosome: PYGN01009170.1, Total Length: 6038
Chromosome: PYGN01022441.1, Total Length: 1115
Chromosome: PYGN01012896.1, Total Length: 3574
Chromosome: PYGN01009182.1, Total Length: 4867
Chromosome: PYGN01001269.1, Total Length: 402138
Chromosome: PYGN01005821.1, Total Length: 6480
Chromosome: PYGN01015212.1, Total Length: 8361
Chromosome: PYGN01001661.1, Total Length: 141058
Chromosome: PYGN01019460.1, Total Length: 1482
Chromosome: PYGN01016015.1, Total Length: 2727
Chromosome: PYGN01022763.1, Total Length: 2929
Chromosome: PYGN01013453.1, Total Length: 4678
Chromosome: PYGN01008548.1, Total Length: 6312
Chromosome: PYGN01022818.1, Total Length: 1510
Chromosome: PYGN01021404.1, Total Length: 1968
Chromosome: PYGN01023552.1, Total Length: 1369
Chromosome: PYGN01013545.1, Total Length: 4128
Chromosome: PYGN01011227.1, Total Length: 5979
Chromosome: PYGN01023838.1, Total Length: 5776
Chromosome: PYGN01010596.1, Total Length: 10874
Chromosome: PYGN01010664.1, Total Length: 4726
Chromosome: PYGN01005535.1, Total Length: 10986
Chromosome: PYGN01016767.1, Total Length: 2647
Chromosome: PYGN01014244.1, Total Length: 3029
Chromosome: PYGN01024413.1, Total Length: 1214
Chromosome: PYGN01009745.1, Total Length: 7009
Chromosome: PYGN01003087.1, Total Length: 53570
Chromosome: PYGN01021406.1, Total Length: 4057
Chromosome: PYGN01014776.1, Total Length: 4123
Chromosome: PYGN01013621.1, Total Length: 4772
Chromosome: PYGN01019779.1, Total Length: 1051
Chromosome: PYGN01010980.1, Total Length: 4182
Chromosome: PYGN01006201.1, Total Length: 4786
Chromosome: PYGN01014971.1, Total Length: 9915
Chromosome: PYGN01016034.1, Total Length: 1511
Chromosome: PYGN01004217.1, Total Length: 17703
Chromosome: PYGN01007182.1, Total Length: 13212
Chromosome: PYGN01011739.1, Total Length: 9136
Chromosome: PYGN01021261.1, Total Length: 1939
Chromosome: PYGN01007154.1, Total Length: 7018
Chromosome: PYGN01000224.1, Total Length: 1392699
Chromosome: PYGN01018668.1, Total Length: 1340
Chromosome: PYGN01000894.1, Total Length: 428287
Chromosome: PYGN01024739.1, Total Length: 1230
Chromosome: PYGN01021601.1, Total Length: 1331
Chromosome: PYGN01012399.1, Total Length: 5125
Chromosome: PYGN01014962.1, Total Length: 5648
Chromosome: PYGN01008455.1, Total Length: 10819
Chromosome: PYGN01002451.1, Total Length: 33830
Chromosome: PYGN01006623.1, Total Length: 6998
Chromosome: PYGN01022114.1, Total Length: 1253
Chromosome: PYGN01021244.1, Total Length: 1179
Chromosome: PYGN01024570.1, Total Length: 15373
Chromosome: PYGN01019979.1, Total Length: 1818
Chromosome: PYGN01021358.1, Total Length: 7466
Chromosome: PYGN01020536.1, Total Length: 3863
Chromosome: PYGN01003872.1, Total Length: 36147
Chromosome: PYGN01017096.1, Total Length: 4330
Chromosome: PYGN01010632.1, Total Length: 2981
Chromosome: PYGN01007925.1, Total Length: 12092
Chromosome: PYGN01016646.1, Total Length: 3537
Chromosome: PYGN01017894.1, Total Length: 9475
Chromosome: PYGN01022141.1, Total Length: 1199
Chromosome: PYGN01016271.1, Total Length: 3003
Chromosome: PYGN01000340.1, Total Length: 703651
Chromosome: PYGN01020688.1, Total Length: 1067
Chromosome: PYGN01012065.1, Total Length: 4805
Chromosome: PYGN01004465.1, Total Length: 16801
